section,schema,name,info
check_constraint,public,availability_blocks ▸ 2200_25821_1_not_null,condition=id IS NOT NULL
check_constraint,public,availability_blocks ▸ 2200_25821_2_not_null,condition=user_id IS NOT NULL
check_constraint,public,availability_blocks ▸ 2200_25821_3_not_null,condition=date IS NOT NULL
check_constraint,public,availability_blocks ▸ 2200_25821_4_not_null,condition=start_time IS NOT NULL
check_constraint,public,availability_blocks ▸ 2200_25821_5_not_null,condition=end_time IS NOT NULL
check_constraint,public,availability_blocks ▸ availability_blocks_check,condition=(end_time > start_time)
check_constraint,public,budget_categories ▸ 2200_37060_1_not_null,condition=id IS NOT NULL
check_constraint,public,budget_categories ▸ 2200_37060_2_not_null,condition=budget_id IS NOT NULL
check_constraint,public,budget_categories ▸ 2200_37060_3_not_null,condition=category_name IS NOT NULL
check_constraint,public,budget_categories ▸ 2200_37060_4_not_null,condition=allocated_amount IS NOT NULL
check_constraint,public,budget_installments ▸ 2200_37550_1_not_null,condition=id IS NOT NULL
check_constraint,public,budget_installments ▸ 2200_37550_2_not_null,condition=budget_id IS NOT NULL
check_constraint,public,budget_installments ▸ 2200_37550_3_not_null,condition=amount IS NOT NULL
check_constraint,public,budget_installments ▸ 2200_37550_4_not_null,condition=due_date IS NOT NULL
check_constraint,public,budget_installments ▸ 2200_37550_5_not_null,condition=description IS NOT NULL
check_constraint,public,budget_installments ▸ 2200_37550_6_not_null,condition=status IS NOT NULL
check_constraint,public,budget_installments ▸ budget_installments_status_check,"condition=(status = ANY (ARRAY['pending'::text, 'paid'::text, 'overdue'::text]))"
check_constraint,public,calendar_availability ▸ 2200_28074_1_not_null,condition=id IS NOT NULL
check_constraint,public,calendar_availability ▸ 2200_28074_2_not_null,condition=user_id IS NOT NULL
check_constraint,public,calendar_availability ▸ 2200_28074_3_not_null,condition=date IS NOT NULL
check_constraint,public,calendar_availability ▸ 2200_28074_4_not_null,condition=start_time IS NOT NULL
check_constraint,public,calendar_availability ▸ 2200_28074_5_not_null,condition=end_time IS NOT NULL
check_constraint,public,calendar_availability ▸ 2200_28074_8_not_null,condition=availability_type IS NOT NULL
check_constraint,public,calendar_availability ▸ calendar_availability_availability_type_check,"condition=(availability_type = ANY (ARRAY['available'::text, 'busy'::text, 'tentative'::text]))"
check_constraint,public,calendar_availability ▸ calendar_availability_check,condition=(end_time > start_time)
check_constraint,public,calendar_events ▸ 2200_106570_1_not_null,condition=id IS NOT NULL
check_constraint,public,calendar_events ▸ 2200_106570_2_not_null,condition=user_id IS NOT NULL
check_constraint,public,calendar_events ▸ 2200_106570_5_not_null,condition=title IS NOT NULL
check_constraint,public,calendar_events ▸ 2200_106570_8_not_null,condition=start_time IS NOT NULL
check_constraint,public,calendar_events ▸ 2200_106570_9_not_null,condition=end_time IS NOT NULL
check_constraint,public,calendar_events ▸ calendar_events_event_type_check,"condition=(event_type = ANY (ARRAY['meeting'::text, 'task'::text, 'deadline'::text, 'personal'::text, 'availability'::text]))"
check_constraint,public,client_activities ▸ 2200_84979_1_not_null,condition=id IS NOT NULL
check_constraint,public,client_activities ▸ 2200_84979_2_not_null,condition=client_id IS NOT NULL
check_constraint,public,client_activities ▸ 2200_84979_4_not_null,condition=activity_type IS NOT NULL
check_constraint,public,client_activities ▸ 2200_84979_5_not_null,condition=title IS NOT NULL
check_constraint,public,client_activities ▸ client_activities_activity_type_check,"condition=(activity_type = ANY (ARRAY['meeting'::text, 'call'::text, 'email'::text, 'note'::text, 'project_created'::text, 'project_updated'::text, 'payment_received'::text, 'contract_signed'::text]))"
check_constraint,public,client_contacts ▸ 2200_84963_1_not_null,condition=id IS NOT NULL
check_constraint,public,client_contacts ▸ 2200_84963_2_not_null,condition=client_id IS NOT NULL
check_constraint,public,client_contacts ▸ 2200_84963_3_not_null,condition=name IS NOT NULL
check_constraint,public,client_payments ▸ 2200_37105_1_not_null,condition=id IS NOT NULL
check_constraint,public,client_payments ▸ 2200_37105_2_not_null,condition=project_id IS NOT NULL
check_constraint,public,client_payments ▸ 2200_37105_4_not_null,condition=amount IS NOT NULL
check_constraint,public,client_payments ▸ 2200_37105_5_not_null,condition=currency IS NOT NULL
check_constraint,public,client_payments ▸ 2200_37105_6_not_null,condition=payment_date IS NOT NULL
check_constraint,public,client_payments ▸ 2200_37105_9_not_null,condition=status IS NOT NULL
check_constraint,public,client_payments ▸ client_payments_status_check,"condition=(status = ANY (ARRAY['pending'::text, 'verified'::text, 'rejected'::text]))"
check_constraint,public,client_segment_assignments ▸ 2200_85016_1_not_null,condition=client_id IS NOT NULL
check_constraint,public,client_segment_assignments ▸ 2200_85016_2_not_null,condition=segment_id IS NOT NULL
check_constraint,public,client_segments ▸ 2200_85000_1_not_null,condition=id IS NOT NULL
check_constraint,public,client_segments ▸ 2200_85000_2_not_null,condition=name IS NOT NULL
check_constraint,public,client_segments ▸ 2200_85000_4_not_null,condition=owner_id IS NOT NULL
check_constraint,public,clients ▸ 2200_23536_1_not_null,condition=id IS NOT NULL
check_constraint,public,clients ▸ 2200_23536_2_not_null,condition=owner_id IS NOT NULL
check_constraint,public,clients ▸ 2200_23536_3_not_null,condition=name IS NOT NULL
check_constraint,public,contract_documents ▸ 2200_83411_1_not_null,condition=id IS NOT NULL
check_constraint,public,contract_documents ▸ 2200_83411_2_not_null,condition=contract_id IS NOT NULL
check_constraint,public,contract_documents ▸ 2200_83411_3_not_null,condition=document_type IS NOT NULL
check_constraint,public,contract_documents ▸ 2200_83411_4_not_null,condition=filename IS NOT NULL
check_constraint,public,contract_documents ▸ 2200_83411_5_not_null,condition=file_path IS NOT NULL
check_constraint,public,contract_documents ▸ contract_documents_document_type_check,"condition=(document_type = ANY (ARRAY['contract'::text, 'signature'::text, 'amendment'::text, 'attachment'::text, 'approval'::text]))"
check_constraint,public,database_view_items ▸ 2200_84937_1_not_null,condition=id IS NOT NULL
check_constraint,public,database_view_items ▸ 2200_84937_2_not_null,condition=view_id IS NOT NULL
check_constraint,public,database_view_items ▸ 2200_84937_3_not_null,condition=title IS NOT NULL
check_constraint,public,database_views ▸ 2200_84920_1_not_null,condition=id IS NOT NULL
check_constraint,public,database_views ▸ 2200_84920_2_not_null,condition=name IS NOT NULL
check_constraint,public,database_views ▸ 2200_84920_3_not_null,condition=type IS NOT NULL
check_constraint,public,database_views ▸ 2200_84920_4_not_null,condition=owner_id IS NOT NULL
check_constraint,public,database_views ▸ database_views_type_check,"condition=(type = ANY (ARRAY['table'::text, 'board'::text, 'calendar'::text, 'gallery'::text, 'timeline'::text]))"
check_constraint,public,financial_reports ▸ 2200_37230_1_not_null,condition=id IS NOT NULL
check_constraint,public,financial_reports ▸ 2200_37230_2_not_null,condition=project_id IS NOT NULL
check_constraint,public,financial_reports ▸ 2200_37230_3_not_null,condition=user_id IS NOT NULL
check_constraint,public,financial_reports ▸ 2200_37230_4_not_null,condition=report_type IS NOT NULL
check_constraint,public,financial_reports ▸ 2200_37230_5_not_null,condition=report_name IS NOT NULL
